gene	norm_1	norm_2	norm_3
CDR20291_0451	14974	15347	13934
CDR20291_0452	155	152	153
CDR20291_0453	36739	37903	45938
CDR20291_0454	7323	7364	8697
CDR20291_0455	16011	16777	19402
CDR20291_0456	366	365	410
CDR20291_0457	553	521	614
CDR20291_0458	658	681	731
CDR20291_0459	911	954	978
CDR20291_0460	1287	1240	1304
CDR20291_0461	1022	1008	908
CDR20291_0462	3650	3496	3566
CDR20291_0463	7201	7469	7314
CDR20291_0464	7785	7360	7268
CDR20291_0465	715	681	677
CDR20291_0466	1602	1593	1552
CDR20291_0467	1547	1526	1492
CDR20291_0468	499	528	461
CDR20291_0469	8183	8140	9071
CDR20291_0470	7652	7706	8378
CDR20291_0471	5658	5148	5297
CDR20291_0472	2020	1872	2024
CDR20291_0473	12729	13101	12992
CDR20291_0474	2613	2717	3079
CDR20291_0475	56	61	87
CDR20291_0476	31	33	25
CDR20291_0477	36	40	26
CDR20291_0478	1081	1089	1156
CDR20291_0479	1349	1372	1406
CDR20291_0480	1215	1140	1202
CDR20291_0481	1869	1759	1898
CDR20291_0482	4306	4580	3982
CDR20291_0483	3441	3469	4136
CDR20291_0484	12215	12442	13467
CDR20291_0485	1731	1651	1900
CDR20291_0486	5225	5147	5742
CDR20291_0487	1390	1427	1359
CDR20291_0488	759	744	796
CDR20291_0489	3083	3330	3709
CDR20291_0490	505	486	535
CDR20291_0491	1808	1817	1568
CDR20291_0492	6270	6411	5318
CDR20291_0493	1449	1505	1317
CDR20291_0494	2492	2662	2365
CDR20291_0495	382	443	425
CDR20291_0496	494	462	494
CDR20291_0497	1840	1883	1766
CDR20291_0498	28782	28755	27333
CDR20291_0499	0	0	0
CDR20291_0500	1471	1340	1328
CDR20291_0499_0	0	0	0
CDR20291_0501	3413	3473	3257
CDR20291_0502	2265	2340	2078
CDR20291_0503	2738	2636	2412
CDR20291_0504	3794	4049	3891
CDR20291_0505	2513	2686	2502
CDR20291_0506	940	983	937
CDR20291_0507	3161	3021	3114
CDR20291_0508	598	708	673
CDR20291_0509	4446	5138	4897
CDR20291_0510	161	154	143
CDR20291_0511	1029	1026	1359
CDR20291_0512	342	350	329
CDR20291_0513	0	0	0
CDR20291_0514	3504	3593	3899
CDR20291_0513_0	0	0	0
CDR20291_0515	8237	8304	10032
CDR20291_0516	752	776	896
CDR20291_0517	56	54	59
CDR20291_0518	114	128	161
CDR20291_0519	6555	6594	5902
CDR20291_0520	2435	2412	2324
CDR20291_0521	7	12	18
CDR20291_0522	11	22	20
CDR20291_0523	112	105	85
CDR20291_0524	820	933	924
CDR20291_0525	345	323	390
CDR20291_0526	274	261	279
CDR20291_0527	1160	1209	1154
CDR20291_0528	1022	1079	995
CDR20291_0529	0	0	0
CDR20291_0530	7936	7860	7733
CDR20291_0529_0	0	0	0
CDR20291_0531	1462	1406	1223
