gene	norm_1	norm_2	norm_3
OG1RF_10131	45	47	48
OG1RF_10132	26	41	30
OG1RF_10135	14400	14118	14142
OG1RF_10136	8530	7087	7706
OG1RF_10137	3270	3532	3482
OG1RF_10138	6033	5964	6264
OG1RF_10142	11696	11823	11916
OG1RF_10180	11707	12347	11925
OG1RF_10181	13951	14574	13540
OG1RF_10182	14029	13892	13708
OG1RF_10183	16726	16690	16384
OG1RF_10184	13367	13463	13642
OG1RF_10186	2592	2801	2643
OG1RF_10188	283	368	370
OG1RF_10189	4230	4376	4231
OG1RF_10190	10345	9570	9645
OG1RF_10191	18886	16985	16315
OG1RF_10192	19854	20146	19435
OG1RF_10193	6	6	3
OG1RF_10194	7342	7280	7443
OG1RF_10195	11244	11696	11652
OG1RF_10196	9273	9766	9585
OG1RF_10202	31428	32162	32828
OG1RF_10203	6041	6194	6326
OG1RF_10204	99	80	90
OG1RF_10205	10302	10322	10368
OG1RF_10206	17931	17508	17013
OG1RF_10207	16244	16004	16344
OG1RF_10217	589	752	670
OG1RF_10218	4306	4728	4361
OG1RF_10219	2438	2768	2621
OG1RF_10222	2170	2010	1944
OG1RF_10223	9564	9944	9987
OG1RF_10224	7200	7667	8025
OG1RF_10229	1835	2059	1933
OG1RF_10231	43	63	30
OG1RF_10236	1845	2006	1848
OG1RF_10237	7161	7120	6672
OG1RF_10243	7792	8318	7926
OG1RF_10244	1222	1125	1173
OG1RF_10246	831	829	881
OG1RF_10251	158	163	129
OG1RF_10252	10675	10402	10880
OG1RF_10253	10165	10105	10673
OG1RF_10254	6944	6664	6719
OG1RF_10256	6503	6498	6643
OG1RF_10259	1982	1932	1785
OG1RF_10260	2886	2980	2917
OG1RF_10261	171	140	145
OG1RF_10262	646	674	683
OG1RF_10263	532	609	666
OG1RF_10265	1490	1443	1300
OG1RF_10266	7059	7657	7115
OG1RF_10267	3152	2999	3039
OG1RF_10268	1871	1830	1784
OG1RF_10269	3817	3774	3895
OG1RF_10270	7708	7441	7813
OG1RF_10271	739	909	671
OG1RF_10272	221	230	210
OG1RF_10273	304	370	352
OG1RF_10275	502	546	549
OG1RF_10277	298	377	375
