gene	norm_1	norm_2	norm_3
CDR20291_0356	2883	3078	3320
CDR20291_0357	4912	4986	5581
CDR20291_0358	3114	3063	3775
CDR20291_0362	2258	2048	2107
CDR20291_0363	5852	5466	5729
CDR20291_0364	2473	2532	2610
CDR20291_0373	14193	13840	13322
CDR20291_0375	1506	1533	1454
CDR20291_0376	0	0	0
CDR20291_0376_0	0	0	0
CDR20291_0377	12969	12985	13657
CDR20291_0378	18946	19876	18971
CDR20291_0379	3961	3764	3301
CDR20291_0380	503	595	557
CDR20291_0381	8972	9305	8673
CDR20291_0382	2357	2147	2408
CDR20291_0383	1966	1783	1996
CDR20291_0385	135	115	138
CDR20291_0386	23	20	10
CDR20291_0387	175	206	161
CDR20291_0390	45	30	57
CDR20291_0391	38	28	43
CDR20291_0392	173	174	161
CDR20291_0393	141	141	139
CDR20291_0394	1348	1378	1499
CDR20291_0395	2311	2462	2205
CDR20291_0396	6271	6438	6008
CDR20291_0397	817	807	953
CDR20291_0398	77	57	64
CDR20291_0399	759	712	748
CDR20291_0400	1070	974	1087
CDR20291_0401	6006	5741	6264
CDR20291_0402	9232	9190	9469
CDR20291_0403	4486	4842	4567
CDR20291_0404	2676	2791	2608
CDR20291_0405	4770	4566	4705
CDR20291_0406	476	420	485
CDR20291_0407	3725	3522	3788
CDR20291_0408	5967	5626	6089
CDR20291_0409	37	57	37
CDR20291_0411	504	510	476
CDR20291_0414	2197	2244	2197
CDR20291_0415	1511	1403	1519
CDR20291_0416	3449	3772	3762
CDR20291_0417	973	857	946
CDR20291_0418	301	348	355
CDR20291_0419	1701	1621	1819
CDR20291_0425	452	459	454
CDR20291_0426	57	53	44
CDR20291_0427	451	548	415
CDR20291_0428	951	887	850
CDR20291_0429	466	461	518
CDR20291_0430	3838	3789	3758
CDR20291_0432	7034	6729	6709
CDR20291_0433	34	59	55
CDR20291_0434	249	284	254
CDR20291_0435	310	274	315
CDR20291_0436	792	718	738
CDR20291_0437	922	866	929
CDR20291_0438	374	334	346
CDR20291_0439	790	706	622
CDR20291_0440	10333	12609	8677
CDR20291_0441	12032	12422	11818
CDR20291_0442	18863	18860	18602
CDR20291_0443	6171	6036	6563
CDR20291_0444	3023	2712	3085
CDR20291_0445	107208	94917	99387
CDR20291_0446	11424	11525	13397
CDR20291_0447	7540	7685	8440
CDR20291_0448	13255	13630	12382
CDR20291_0449	7548	7842	7160
CDR20291_0450	29428	30205	31648
CDR20291_0451	40107	40307	42990
CDR20291_0452	201	251	269
CDR20291_0453	20886	20888	22499
CDR20291_0454	3430	3300	3751
CDR20291_0455	6357	6707	7009
CDR20291_0456	727	644	688
CDR20291_0457	1040	1108	1094
CDR20291_0462	6231	6394	5237
CDR20291_0463	11542	13114	8876
CDR20291_0465	1184	1307	1099
CDR20291_0467	3029	3236	2769
CDR20291_0468	769	820	747
CDR20291_0469	12328	13656	12737
CDR20291_0470	16229	15832	16955
CDR20291_0471	9502	9127	10285
CDR20291_0472	4110	3950	4313
CDR20291_0473	28004	27318	30405
CDR20291_0474	6017	6408	6541
CDR20291_0475	157	200	177
CDR20291_0478	3470	3514	3130
CDR20291_0481	4047	3924	4263
CDR20291_0482	10376	10415	10661
CDR20291_0484	23460	22688	22791
CDR20291_0486	10211	10016	10771
CDR20291_0487	3561	3675	3947
CDR20291_0488	1225	1253	1095
CDR20291_0489	5239	5422	5390
CDR20291_0491	5498	5290	5579
CDR20291_0492	18166	17852	18826
CDR20291_0493	4164	3797	4188
CDR20291_0494	7682	7534	7327
CDR20291_0495	995	985	913
CDR20291_0496	996	963	939
CDR20291_0497	4835	4787	4655
CDR20291_0499	0	0	0
CDR20291_0499_0	0	0	0
CDR20291_0500	2826	2683	2776
CDR20291_0501	8066	7495	7849
CDR20291_0502	4849	4792	4890
CDR20291_0503	5023	4431	5003
CDR20291_0504	13404	12706	13445
CDR20291_0505	8099	7671	8138
CDR20291_0506	2531	2312	2643
CDR20291_0508	1842	2130	2286
CDR20291_0509	12858	14723	15226
CDR20291_0510	536	440	520
CDR20291_0511	1734	1965	1785
CDR20291_0512	501	511	475
CDR20291_0513	0	0	0
CDR20291_0513_0	0	0	0
CDR20291_0514	6093	5999	6226
CDR20291_0515	11163	13505	10257
CDR20291_0516	1193	1430	1188
CDR20291_0517	77	74	59
CDR20291_0518	300	327	345
CDR20291_0519	18071	17943	17660
CDR20291_0520	6569	6695	6567
CDR20291_0521	32	27	12
CDR20291_0525	831	891	857
CDR20291_0526	702	804	751
CDR20291_0527	2362	2438	2512
CDR20291_0528	1998	2195	2204
CDR20291_0529	0	0	0
CDR20291_0529_0	0	0	0
CDR20291_0530	11065	10721	11224
CDR20291_0531	2878	2895	3080
CDR20291_0532	4273	4280	4085
CDR20291_0533	1085	1102	1197
CDR20291_0534	1001	943	957
CDR20291_0535	850	888	921
CDR20291_0536	100	79	95
CDR20291_0537	278	186	254
CDR20291_0538	16681	15605	17248
CDR20291_0539	4345	4203	4231
CDR20291_0540	741	739	763
CDR20291_0541	118	120	129
CDR20291_0542	83	91	99
CDR20291_0543	68	68	77
CDR20291_0544	1	6	2
CDR20291_0545	53	54	22
CDR20291_0546	1620	1742	1383
CDR20291_0547	620	678	478
CDR20291_0548	80	90	42
CDR20291_0549	11942	11721	12398
CDR20291_0550	55755	56147	57858
CDR20291_0551	80352	73140	82693
CDR20291_0552	3276	3369	3271
CDR20291_0553	688	745	712
CDR20291_0554	636	662	627
CDR20291_0555	2416	2635	2235
CDR20291_0556	689	813	738
CDR20291_0557	2071	2273	2114
CDR20291_0558	1336	1404	1391
CDR20291_0559	750	682	761
CDR20291_0560	293	264	299
CDR20291_0561	3842	3737	3840
CDR20291_0562	775	827	766
CDR20291_0563	1156	1108	1092
CDR20291_0564	344	334	331
CDR20291_0565	1791	1729	1662
CDR20291_0566	2188	2138	2111
CDR20291_0567	2853	2715	2689
CDR20291_0568	1552	1546	1559
CDR20291_0569	11891	11461	12066
CDR20291_0570	12143	12067	12530
CDR20291_0571	95	101	101
CDR20291_0572	274	288	332
CDR20291_0573	1467	1520	1468
CDR20291_0574	801	848	822
CDR20291_0575	2536	2353	2533
CDR20291_0576	1326	1184	1368
CDR20291_0577	3384	2914	3181
CDR20291_0578	585	572	646
CDR20291_0587	2123	2190	2119
CDR20291_0591	1670	1671	1638
CDR20291_0592	3835	3715	4216
CDR20291_0593	206	250	291
CDR20291_0594	323	386	331
CDR20291_0595	33294	29483	33021
CDR20291_0596	4979	5001	5058
CDR20291_0597	8	5	13
CDR20291_0598	1220	1084	1332
CDR20291_0599	637	604	643
CDR20291_0600	202	189	216
CDR20291_0601	201	200	171
CDR20291_0602	177	183	164
CDR20291_0603	714	713	782
CDR20291_0604	892	945	844
CDR20291_0605	259	302	285
CDR20291_0606	162	158	165
CDR20291_0607	1611	1550	1760
CDR20291_0608	2139	2050	2310
CDR20291_0609	6898	7013	7662
CDR20291_0610	360	378	457
CDR20291_0614	521	533	567
CDR20291_0615	3436	3606	3381
CDR20291_0616	640	600	563
CDR20291_0617	333	351	368
CDR20291_0618	5557	5801	5558
CDR20291_0619	973	924	877
CDR20291_0620	2865	2910	2937
CDR20291_0621	1505	1443	1629
CDR20291_0622	12375	12134	12483
CDR20291_0623	7577	7725	7354
CDR20291_0624	3338	3080	3455
CDR20291_0627	27277	27244	27149
CDR20291_0628	500	597	487
CDR20291_0629	11137	12098	10407
CDR20291_0630	5222	5447	5037
CDR20291_0631	4195	4219	4286
CDR20291_0632	11450	10652	11116
CDR20291_0633	48538	48357	46364
CDR20291_0635	21390	22884	19350
CDR20291_0636	2470	2618	2079
CDR20291_0638	4847	4841	4589
CDR20291_0639	16097	16055	15552
CDR20291_0640	14292	14029	13310
CDR20291_0641	8	3	3
CDR20291_0642	4772	4540	4793
CDR20291_0648	2292	2721	2506
CDR20291_0649	3095	3942	3685
CDR20291_0650	5475	6904	6413
CDR20291_0651	3192	3896	3462
CDR20291_0652	6144	7538	7011
CDR20291_0653	9177	11046	10746
CDR20291_0654	6059	7319	7246
CDR20291_0655	21455	25125	24181
CDR20291_0657	3790	4195	3635
CDR20291_0658	1504	1724	1442
CDR20291_0659	1489	1787	1514
CDR20291_0660	1603	1759	1560
CDR20291_0661	2545	2432	2632
CDR20291_0662	18791	19112	19496
CDR20291_0663	13260	13477	14032
CDR20291_0665	647	513	624
CDR20291_0666	5397	4941	4917
CDR20291_0667	4194	3863	4239
CDR20291_0668	408	425	344
CDR20291_0670	426	411	425
CDR20291_0671	4770	4701	4690
CDR20291_0672	6074	5776	6257
CDR20291_0673	6985	7095	7739
CDR20291_0674	317	292	304
CDR20291_0675	7550	7495	7371
CDR20291_0676	16349	16228	15880
CDR20291_0677	11105	11178	9971
CDR20291_0678	6108	7232	8619
CDR20291_0679	7265	8379	9519
CDR20291_0680	8607	9960	11531
CDR20291_0683	13086	13138	12863
CDR20291_0684	10076	10560	10410
CDR20291_0685	28745	27127	28923
CDR20291_0688	393	431	396
CDR20291_0689	54791	54046	53858
CDR20291_0690	158	181	207
CDR20291_0697	2274	2285	2082
CDR20291_0698	4461	4760	3846
CDR20291_0705	10332	10106	10413
CDR20291_0706	594	630	615
CDR20291_0707	234	217	229
CDR20291_0708	710	709	735
CDR20291_0709	776	832	895
CDR20291_0710	3953	3988	4170
CDR20291_0711	16790	17259	16987
CDR20291_0712	103222	100624	106891
CDR20291_0713	732	742	807
CDR20291_0714	573	631	683
CDR20291_0715	2459	2464	2564
CDR20291_0716	40026	38478	40031
CDR20291_0717	5866	5181	6092
CDR20291_0718	2232	2144	2143
CDR20291_0719	17630	17585	17812
CDR20291_0720	12031	11101	11950
CDR20291_0721	9026	9159	8818
CDR20291_0722	2554	2784	2956
CDR20291_0723	44	32	59
CDR20291_0724	21	16	23
CDR20291_0726	37061	36215	37487
CDR20291_0727	7926	7805	8359
CDR20291_0728	29	60	35
CDR20291_0729	131	130	144
CDR20291_0732	104	106	106
CDR20291_0733	201	238	246
CDR20291_0734	232	204	248
CDR20291_0735	148	149	149
CDR20291_0736	453	542	482
