reaction	linear_coefficient
rxn00950_c	1.0
rxn00002_c	1.0
rxn00542_c	1.0
rxn10220_c	1.0
rxn10261_c	1.0
rxn01964_c	1.0
rxn02341_c	1.0
rxn01519_c	1.0
rxn01137_c	1.0
rxn01343_c	1.0
rxn10255_c	1.0
rxn08797_c	0.9852941176470589
rxn00127_c	1.0
rxn05232_c	1.0
rxn06759_c	1.0
rxn09108_c	1.0
rxn14293_c	1.0
rxn01513_c	1.0
rxn06510_c	1.0
rxn08307_c	1.0
rxn02474_c	1.0
rxn02230_c	1.0
rxn06517_c	1.0
rxn08657_c	1.0
rxn07448_c	1.0
rxn01019_c	1.0
rxn08849_c	0.9852941176470589
rxn09448_c	1.0
rxn08295_c	1.0
rxn01603_c	1.0
rxn00055_c	1.0
rxn00686_c	1.0
rxn00905_c	1.0
rxn05456_c	1.0
rxn09112_c	1.0
rxn00157_c	1.0
rxn03194_c	1.0
rxn06075_c	1.0
rxn00689_c	1.0
rxn01286_c	1.0
rxn01236_c	1.0
rxn05289_c	1.0
rxn05343_c	1.0
rxn05425_c	1.0
rxn05736_c	1.0
rxn01641_c	1.0
rxn00493_c	1.0
rxn00933_c	1.0
rxn08298_c	1.0
rxn01834_c	1.0
rxn00293_c	0.9852941176470589
rxn05383_c	1.0
rxn00741_c	1.0
rxn11584_c	1.0
EX_cpd01030_e	0.9852941176470589
EX_cpd00276_e	0.9852941176470589
EX_cpd00082_e	0.9852941176470589
EX_cpd00080_e	0.9852941176470589
EX_cpd00001_e	0.9852941176470589
EX_cpd00023_e	0.9852941176470589
EX_cpd00971_e	0.9852941176470589
EX_cpd00314_e	0.9852941176470589
EX_cpd00797_e	0.9852941176470589
EX_cpd00051_e	0.9852941176470589
EX_cpd00064_e	0.9852941176470589
EX_cpd10515_e	0.9852941176470589
EX_cpd00179_e	0.9852941176470589
EX_cpd00009_e	0.9852941176470589
EX_cpd00060_e	0.9852941176470589
EX_cpd00076_e	0.9852941176470589
EX_cpd01171_e	0.9852941176470589
EX_cpd00067_e	0.9852941176470589
EX_cpd00154_e	0.9852941176470589
EX_cpd00637_e	0.9852941176470589
EX_cpd00122_e	0.9852941176470589
EX_cpd00035_e	0.9852941176470589
EX_cpd00309_e	0.9852941176470589
EX_cpd00220_e	0.9852941176470589
EX_cpd00588_e	0.9852941176470589
EX_cpd00117_e	0.9852941176470589
EX_cpd00307_e	0.9852941176470589
EX_cpd00254_e	0.9852941176470589
EX_cpd00205_e	0.9852941176470589
EX_cpd00138_e	0.9852941176470589
EX_cpd00305_e	0.9852941176470589
EX_cpd01242_e	0.9852941176470589
EX_cpd03048_e	0.9852941176470589
EX_cpd00065_e	0.9852941176470589
EX_cpd00149_e	0.9852941176470589
EX_cpd00099_e	0.9852941176470589
EX_cpd00162_e	0.9852941176470589
EX_cpd00395_e	0.9852941176470589
EX_cpd00027_e	0.9852941176470589
EX_cpd00794_e	0.9852941176470589
EX_cpd00105_e	0.9852941176470589
EX_cpd00226_e	0.9852941176470589
