reaction	linear_coefficient
rxn08799_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn05234_c	[0.00222887858198627, 0.0024540953608825767, 0.0021406341029650755]
rxn01157_c	[0.031094522486777673, 0.03536916489358447, 0.035605050133382395]
rxn01844_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05938_c	[1.9603153755376165e-06, 2.039979518605633e-06, 1.916413700058259e-06]
rxn00537_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03419_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn11610_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10256_c	[0.04694563261337484, 0.047239805712350647, 0.04638679360991016]
rxn04781_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00758_c	[0.11303962581500111, 0.11223355317512612, 0.11021295189035048]
rxn02975_c	[0.10750369519448288, 0.10810055467043111, 0.11021295189035048]
rxn00272_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05555_c	[0.17450335409960754, 0.18851246733482796, 0.16852558795572317]
rxn09111_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn06078_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03848_c	[0.030410372420715044, 0.03536916489358447, 0.033104130254806366]
rxn05348_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn00907_c	[0.04017078267551684, 0.0366115124204153, 0.033104130254806366]
rxn05458_c	[0.0027777668871368025, 0.003080369073094506, 0.0025909913224787663]
rxn08300_c	[0.04694563261337484, 0.047239805712350647, 0.04638679360991016]
rxn08297_c	[0.04694563261337484, 0.047239805712350647, 0.04638679360991016]
rxn00012_c	[0.0038265356130494275, 0.0044002358216323504, 0.0033038972189004387]
rxn01280_c	[0.6192812699707129, 0.6756310166645927, 0.6731824732468648]
rxn07721_c	[0.0023719816044005157, 0.0026152537428524216, 0.002428096157973814]
rxn10322_c	[0.003020845993703467, 0.003535284505743562, 0.003087342470793855]
rxn09320_c	[0.005152688964600625, 0.005371266072488632, 0.004904102658449085]
rxn09114_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08822_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn02821_c	[0.03215113247419245, 0.03536916489358447, 0.031143639039646766]
rxn05345_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn04068_c	[0.00045871379787580224, 0.0005426345519490985, 0.00045610646061386564]
rxn01522_c	[0.08074735063376996, 0.08481418846554781, 0.05553191978658817]
rxn03891_c	[0.03594434272585774, 0.03790077947617406, 0.030285085702020667]
rxn01465_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05145_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01301_c	[0.04931173327164874, 0.07031401404729896, 0.04638679360991016]
rxn01643_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn00295_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00499_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08844_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00707_c	[0.03749103155715691, 0.039039088047556, 0.036683991046515194]
rxn06937_c	[0.003428591591815291, 0.003922880614278632, 0.003231073498298225]
rxn01637_c	[0.17450335409960754, 0.17362061684900684, 0.21696869346579584]
rxn02489_c	[0.10750369519448288, 0.10810055467043111, 0.10163508416888971]
rxn03095_c	[0.00045871379787580224, 0.0005426345519490985, 0.00045610646061386564]
rxn00566_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00708_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn02639_c	[0.030410372420715044, 0.030338575400702977, 0.029528102290497654]
rxn03762_c	[0.0040970591348736185, 0.005230507485704843, 0.004442246956735044]
rxn01269_c	[0.04931173327164874, 0.05178080012076679, 0.06230452580259406]
rxn00392_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00747_c	[0.0023700212890249784, 0.002464295258475605, 0.0025909913224787663]
rxn01334_c	[0.00034893613684569574, 0.0003569964157559858, 0.000377533498911477]
rxn05219_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00029_c	[0.005152688964600625, 0.005371266072488632, 0.004913684726949376]
rxn06673_c	[0.004422471487212863, 0.005322306564042097, 0.0046798822555422686]
rxn07734_c	[0.0023719816044005157, 0.0026152537428524216, 0.002428096157973814]
rxn02175_c	[0.030410372420715044, 0.03440833454032122, 0.02839933462116334]
rxn02835_c	[0.10750369519448288, 0.10810055467043111, 0.10163508416888971]
rxn03884_c	[0.12181595775128302, 0.11223355317512612, 0.11992533652224573]
rxn04385_c	[0.029765428662163168, 0.0055242645363840544, 0.03256370159138994]
rxn03861_c	[0.002562132195827665, 0.0023786161186941683, 0.0020754760371630944]
rxn00146_c	[0.0014075064396360086, 0.0017768221607055066, 0.0013299911078404317]
rxn08839_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn03536_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn02009_c	[0.11303962581500111, 0.11223355317512612, 0.11004047465734523]
rxn09562_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05359_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
