CDR20291_0165	498
CDR20291_0166	485
CDR20291_0167	1329
CDR20291_0168	610
CDR20291_0169	5288
CDR20291_0170	7133
CDR20291_0171	16449
CDR20291_0172	819
CDR20291_0174	1564
CDR20291_0175	7661
CDR20291_0176	781
CDR20291_0177	3490
CDR20291_0178	12472
CDR20291_0179	173
CDR20291_0181	129
CDR20291_0182	1493
CDR20291_0183	0
CDR20291_0184	27726
CDR20291_0189	1208
CDR20291_0190	2389
CDR20291_0191	1008
CDR20291_0192	2222
CDR20291_0196	1263
CDR20291_0197	0
CDR20291_0199	9849
CDR20291_0200	2063
CDR20291_0201	484
CDR20291_0202	271
CDR20291_0203	97
CDR20291_0204	1382
CDR20291_0205	6062
CDR20291_0206	80
CDR20291_0207	19
CDR20291_0208	82
CDR20291_0209	18
CDR20291_0210	102
CDR20291_0211	1649
CDR20291_0212	98
CDR20291_0213	18
CDR20291_0214	340
CDR20291_0223	1160
CDR20291_0224	2888
CDR20291_0225	1235
CDR20291_0226	2874
CDR20291_0227	2156
CDR20291_0228	1211
CDR20291_0231	420
CDR20291_0234	526
CDR20291_0239	608
CDR20291_0241	3806
CDR20291_0242	5161
CDR20291_0243	6197
CDR20291_0244	1797
CDR20291_0245	3624
CDR20291_0246	3960
CDR20291_0247	3643
CDR20291_0259	152
CDR20291_0263	317
CDR20291_0271	303
CDR20291_0273	1364
CDR20291_0276	2343
CDR20291_0280	1257
CDR20291_0281	415
CDR20291_0282	356
CDR20291_0283	260
CDR20291_0284	351
CDR20291_0285	3791
CDR20291_0286	1687
CDR20291_0287	6
CDR20291_0288	0
CDR20291_0289	1
CDR20291_0290	10
CDR20291_0291	20
CDR20291_0292	25
CDR20291_0293	40
CDR20291_0294	30
CDR20291_0295	207
CDR20291_0296	222
CDR20291_0297	152
CDR20291_0298	9729
CDR20291_0299	931
CDR20291_0300	488
CDR20291_0307	201
CDR20291_0309	396
CDR20291_0310	553
CDR20291_0311	3045
CDR20291_0312	3944
CDR20291_0313	2848
CDR20291_0314	3907
CDR20291_0315	2290
CDR20291_0316	252
CDR20291_0317	1710
CDR20291_0318	22236
CDR20291_0319	488
CDR20291_0320	29
CDR20291_0321	3568
CDR20291_0322	2987
CDR20291_0323	4880
CDR20291_0324	3307
CDR20291_0325	2888
CDR20291_0326	385
CDR20291_0327	1999
CDR20291_0328	2963
CDR20291_0334	11223
CDR20291_0335	6863
CDR20291_0337	169
CDR20291_0340	199
CDR20291_0341	373
CDR20291_0342	674
CDR20291_0343	809
CDR20291_0344	1012
CDR20291_0345	16397
CDR20291_0346	752
CDR20291_0347	543
CDR20291_0348	1153
CDR20291_0349	2104
CDR20291_0350	9696
CDR20291_0351	1170
CDR20291_0352	1600
CDR20291_0353	4407
CDR20291_0354	4495
CDR20291_0355	3622
CDR20291_0356	1421
CDR20291_0357	2240
CDR20291_0358	1368
CDR20291_0362	951
CDR20291_0363	2626
CDR20291_0364	1127
CDR20291_0373	6355
CDR20291_0375	668
CDR20291_0376	0
CDR20291_0376_0	0
CDR20291_0377	5906
CDR20291_0378	8584
CDR20291_0379	1646
CDR20291_0380	250
CDR20291_0381	4027
CDR20291_0382	1068
CDR20291_0383	918
CDR20291_0385	62
CDR20291_0386	6
CDR20291_0387	80
CDR20291_0390	26
CDR20291_0391	17
CDR20291_0392	76
CDR20291_0393	66
CDR20291_0394	644
CDR20291_0395	1041
CDR20291_0396	2800
CDR20291_0397	387
CDR20291_0398	27
CDR20291_0399	343
CDR20291_0400	474
CDR20291_0401	2660
CDR20291_0402	4209
CDR20291_0403	2043
CDR20291_0404	1191
CDR20291_0405	2176
CDR20291_0406	210
CDR20291_0407	1669
CDR20291_0408	2692
CDR20291_0409	17
CDR20291_0411	226
CDR20291_0414	969
CDR20291_0415	671
CDR20291_0416	1735
CDR20291_0417	408
CDR20291_0418	141
CDR20291_0419	772
CDR20291_0425	208
CDR20291_0426	27
CDR20291_0427	203
CDR20291_0428	404
CDR20291_0429	228
CDR20291_0430	1730
CDR20291_0432	3037
CDR20291_0433	25
CDR20291_0434	125
CDR20291_0435	137
CDR20291_0436	332
CDR20291_0437	406
CDR20291_0438	171
CDR20291_0439	339
CDR20291_0440	4631
CDR20291_0441	5417
CDR20291_0442	8479
CDR20291_0443	2811
CDR20291_0444	1323
CDR20291_0445	44935
CDR20291_0446	5292
CDR20291_0447	3521
CDR20291_0448	5902
CDR20291_0449	3367
CDR20291_0450	13695
CDR20291_0451	18351
CDR20291_0452	107
CDR20291_0453	9613
CDR20291_0454	1525
CDR20291_0455	3066
CDR20291_0456	311
CDR20291_0457	496
CDR20291_0462	2846
CDR20291_0463	5158
